neck_angle,shoulder_slope,back_angle,head_forward,class
160.79915281023824,3.937975074030284,0.11679080369380289,0.44365321846803984,good
167.21134016031323,3.6925397711124917,0.05484433556362764,0.3469157992444907,good
168.02393305297133,4.543525590494341,0.05533529314290363,0.4277659771715095,good
168.01981917243486,3.585438971357819,0.04988738658404682,0.3417125896889917,good
168.99766977423354,5.734909767526559,0.036752355923572656,0.4003333458006267,good
170.70757643040304,3.0657975647848863,0.04445510715470224,0.4098705422130533,good
166.9319941525437,0.9733370706697828,0.07979463751301921,0.3808311861550402,good
167.64178201777176,4.236479522473398,0.06091591820511822,0.4311811922971653,good
167.75774339563526,5.051604107036705,0.05221338285672397,0.4171351750562489,good
179.05333416618325,0.3541324123863047,0.008174270593885802,0.36008000747322866,good
169.6530403069995,6.6701428746587474,0.02529783002896191,0.39448639452201617,good
166.94775351242015,9.672571476726205,0.036626129711982494,0.621284612819451,good
163.90817630039456,7.34329127422,0.07334402587809787,0.4822153611987267,good
163.11400110202737,6.496304899384897,0.08774058294119592,0.4865226851747417,good
166.15026359612264,3.2786199120272954,0.07349226349124921,0.40059925335270147,good
178.65997870260057,3.296835595354253,0.011032020035388817,0.3230817991696172,good
162.34593243730245,3.6737541028452556,0.10672759920145869,0.44177434961368683,good
164.9888066655806,3.5776951818245797,0.06341139167665107,0.319887280893944,good
165.08849516242103,2.9868978752332573,0.06719852072868386,0.3252206311362309,good
170.596689992315,2.4945252365018367,0.040578278478048076,0.33733975313836395,good
162.79233382556032,3.525949645823661,0.11688788983890612,0.49418181950115275,good
163.09349226688582,4.562597625471994,0.09800539425125246,0.4584423390352287,good
176.3645181612272,2.1541340333183974,0.012081974011243713,0.4673603622744551,good
152.54250898978776,21.580292446187222,0.06071225571178231,0.5929123652395369,good
147.93867977294053,167.29751960472964,0.05822269568042761,0.17564284148721968,good
166.61285171575423,4.445662986487852,0.06675902235641057,0.42952375095107453,good
168.28475781378395,3.902267981188134,0.0690042723509557,0.5076086122834825,good
164.81710462384913,4.574029453288883,0.08583165868386057,0.4662142936808595,good
163.90718526819444,2.732619100383522,0.08729632806683153,0.37778835890720175,good
163.95096945767753,3.079634936578647,0.09766086044529643,0.43514955481507017,good
165.42526120304439,5.377883598386729,0.090171342963862,0.5641808916681957,good
170.80839154915137,5.50668382672844,0.0284744445023076,0.44304589873536493,good
167.1137167790193,4.644401619493794,0.06392832625709145,0.44595227489900946,good
166.66778323322575,0.03423160726829157,0.14247184113940586,0.6194010059313896,good
161.55459958675698,4.629553148812382,0.11121505440825469,0.4657206824824835,good
169.33817758248236,4.2820691454060515,0.04043819315865254,0.3639219762956377,good
166.25672986432284,4.565488069952582,0.07113746380900783,0.44600741599751215,good
166.01884761046864,3.3636832750476673,0.06236308290915817,0.3384680236968744,good
172.13684355111133,2.3280840517529273,0.033927080889967584,0.35173982672722853,good
162.18551654144588,3.6246474419269705,0.1137736272781545,0.4641256378979906,good
164.6697844605059,4.1681120627682375,0.06538754185246677,0.33777088924694443,good
167.37654913277888,3.8947738978420143,0.0674968004677238,0.44477319283274197,good
168.24271340835924,3.494479131152569,0.05549696536346403,0.38616299115967223,good
167.17220873002898,4.228851251627688,0.06235475464583782,0.41704109411997586,good
172.52267910916427,7.3870601037532095,0.0008464601535790288,0.5373165463507694,good
170.73035536992674,3.5120092463978496,0.03778988653812292,0.3766909951631857,good
170.39048507164412,5.246692805021455,0.035373285846934915,0.4649971539766991,good
166.96639958011107,14.034093795957354,0.010408377951471351,0.5960923382074463,good
165.31111338731355,4.975377437381418,0.0704875220718746,0.41777368963367484,good
165.42021727493,3.7734379064421657,0.07820260968260422,0.4171026303759788,good
171.06383651680414,1.23528860563705,0.1697068828557377,0.9609984376790058,good
167.23267740556383,8.963436523587959,0.03754004887812694,0.565860071746089,good
167.8924017685203,4.324724388428,0.06178144083068752,0.45622288859231863,good
169.5355170385627,2.548832808768533,0.05673592336308141,0.41198042410311203,good
172.40154073965004,1.1151698393412213,0.09401690644621426,0.6205902232288688,good
166.071653793924,5.261196900868315,0.09890234649507204,0.6563122648842882,good
165.35685509140473,3.936288450833008,0.08408402180818837,0.4525897320453186,good
179.26941129951854,0.26282611673821094,0.008281917762318397,0.47768837502847394,good
168.0189713687016,3.2328414150974445,0.05679891725228331,0.37345076791642695,good
165.33335176470604,4.3920429076301994,0.06204481530860534,0.3478509008030074,good
165.80471968441037,5.193085655871826,0.06744769841353819,0.43105201076541605,good
165.67245702091964,4.685939521659389,0.07322792283218595,0.4372216927610899,good
170.37440749017216,4.585484628659241,0.02923404563958244,0.3327606527968429,good
164.29863555223054,3.9777891953970923,0.09124005244584514,0.44903767385113214,good
161.24741664862435,3.219949085933133,0.16178846725032767,0.6041680541500489,good
168.97602714823034,3.0868789185319168,0.05805503598316667,0.42042731864097177,good
174.9594463509022,2.9984829189552604,0.01623006741566384,0.4554745599242839,good
168.80531200232386,12.228894683171186,0.013816598213415335,0.765490849235754,good
175.46599117360492,5.457024371069679,0.16011837005458288,0.9229040844622667,good
174.95447805025856,4.2595401135084225,0.1450711550168682,0.8972122571848922,good
167.1391242654173,4.725146591187961,0.06032815437610113,0.4262914219909033,good
165.14393885112275,5.538096421324749,0.07029945820932794,0.43417981238673176,good
166.2463422274265,7.613446252509666,0.041446849773331206,0.3874917311765913,good
167.7965188969616,2.7274131587343655,0.06148978361690764,0.373490142098317,good
164.0444573210808,2.5212884654351058,0.09174108978934363,0.3948750179329331,good
159.14751671529893,4.131707434691107,0.16735493766921392,0.5816836716944496,good
165.51989299085096,4.786739693038896,0.048690648756077926,0.2891793337063903,good
166.8607801614489,4.805991459266016,0.06311067391122371,0.43545610645378047,good
161.9420949991106,3.7438846551273657,0.10880133949398307,0.44007055868235995,good
177.51864956865992,1.6474462130686973,0.005311474068941931,0.36495293455413563,good
168.40569270081087,2.9675950763062957,0.056126807356127593,0.3741879420402127,good
165.6073658706728,4.406315165657991,0.07146799701429353,0.4121258976255129,good
174.41039603223876,1.1384427715184018,0.0740384888583618,0.6319601869450794,good
173.72956148400183,3.0440952093754694,0.02487931145140098,0.4420587077140255,good
172.91933103117714,4.603528285681465,0.012531697394826537,0.28994602922352786,good
167.03568385401908,4.45979597400023,0.06816942163310613,0.46095478750342966,good
167.25393999002392,5.4085400840015305,0.051719274316875424,0.40496128740059506,good
166.49089274299286,3.3753324024127576,0.07670516509721506,0.43595597761369514,good
157.10564454439523,18.944617083909513,0.04114178146952078,0.5972847465159349,good
164.5225987045306,4.004842533476695,0.0857741913554636,0.43124585687134726,good
179.38011321999858,2.8387047938234526,0.01769157195298204,0.45695762456704997,good
165.36579978157755,4.605188207771344,0.08095005178438182,0.46483796142413897,good
165.1262112027876,4.347615952670728,0.07968821305497958,0.43620637462955003,good
173.6714040627922,1.0196025406813176,0.05326211479581371,0.5756393711273121,good
169.1839513111121,5.453808832608582,0.04749573788780184,0.5082357461355573,good
179.91297614387491,1.3451952518715589,0.013247392994452337,0.5300158019475731,good
167.168697326182,2.8524202717301264,0.09078480150628697,0.523903973380394,good
171.70151686164095,4.029049063133071,0.031537704334163794,0.42362773122447667,good
168.68042683950463,4.603227262006358,0.033669367126266045,0.2878853728322669,good
166.88706243920373,0.851277336711197,0.1223226336425584,0.5068984996086922,good
168.62557492892967,3.7621180519153623,0.04711492385561902,0.3556667427941891,good
